group,drug_name,ndcnum,generic_name
clindamycin,clindamycin,49452213905,Clindamycin Hydrochloride
clindamycin,clindamycin,49999001100,Clindamycin Hydrochloride
clindamycin,clindamycin,49999001104,Clindamycin Hydrochloride
clindamycin,clindamycin,49999001115,Clindamycin Hydrochloride
clindamycin,clindamycin,49999001118,Clindamycin Hydrochloride
clindamycin,clindamycin,49999001120,Clindamycin Hydrochloride
clindamycin,clindamycin,49999001121,Clindamycin Hydrochloride
clindamycin,clindamycin,49999001128,Clindamycin Hydrochloride
clindamycin,clindamycin,49999001130,Clindamycin Hydrochloride
clindamycin,clindamycin,49999001140,Clindamycin Hydrochloride
