group,drug_name,ndcnum,generic_name
cephalosporins,cephalexin,00904380160,Cephalexin
cephalosporins,cephalexin,00904380161,Cephalexin
cephalosporins,cephalexin,00904380204,Cephalexin
cephalosporins,cephalexin,00904380208,Cephalexin
cephalosporins,cephalexin,00904380304,Cephalexin
cephalosporins,cephalexin,00904380308,Cephalexin
cephalosporins,cephalexin,00904382061,Cephalexin
cephalosporins,cephalexin,00904382160,Cephalexin
cephalosporins,cephalexin,10544000414,Cephalexin
cephalosporins,cephalexin,10544000420,Cephalexin
cephalosporins,cephalexin,10544000428,Cephalexin
cephalosporins,cephalexin,10544000430,Cephalexin
cephalosporins,cephalexin,10544001328,Cephalexin
cephalosporins,cephalexin,10544001340,Cephalexin
cephalosporins,cephalexin,10544002010,Cephalexin
cephalosporins,cephalexin,10544002130,Cephalexin
cephalosporins,cephalexin,10544002510,Cephalexin
cephalosporins,cephalexin,10544002514,Cephalexin
cephalosporins,cephalexin,10544002528,Cephalexin
cephalosporins,cephalexin,10544002530,Cephalexin
cephalosporins,cephalexin,10544002540,Cephalexin
cephalosporins,cephalexin,10544005714,Cephalexin
cephalosporins,cephalexin,10544005720,Cephalexin
cephalosporins,cephalexin,10544005721,Cephalexin
cephalosporins,cephalexin,10544005728,Cephalexin
cephalosporins,cephalexin,10544005730,Cephalexin
cephalosporins,cephalexin,10544005740,Cephalexin
cephalosporins,cephalexin,10544005760,Cephalexin
cephalosporins,cephalexin,10544008210,Cephalexin
cephalosporins,cephalexin,10544008214,Cephalexin
cephalosporins,cephalexin,10544008220,Cephalexin
cephalosporins,cephalexin,10544008221,Cephalexin
cephalosporins,cephalexin,10544008228,Cephalexin
cephalosporins,cephalexin,10544008230,Cephalexin
cephalosporins,cephalexin,10544008240,Cephalexin
cephalosporins,cephalexin,10544014230,Cephalexin
cephalosporins,cephalexin,10544030610,Cephalexin
cephalosporins,cephalexin,10544030628,Cephalexin
cephalosporins,cephalexin,10544036528,Cephalexin
cephalosporins,cephalexin,10544050314,Cephalexin
cephalosporins,cephalexin,10544050317,Cephalexin
cephalosporins,cephalexin,10544050320,Cephalexin
cephalosporins,cephalexin,10544050330,Cephalexin
cephalosporins,cephalexin,10544050340,Cephalexin
cephalosporins,cephalexin,10544050373,Cephalexin
cephalosporins,cephalexin,10544052940,Cephalexin
cephalosporins,cephalexin,10544061714,Cephalexin
cephalosporins,cephalexin,10544061720,Cephalexin
cephalosporins,cephalexin,10544061728,Cephalexin
cephalosporins,cephalexin,10544061730,Cephalexin
cephalosporins,cephalexin,10544061740,Cephalexin
cephalosporins,cephalexin,10544086830,Cephalexin
cephalosporins,cephalexin,10544086840,Cephalexin
cephalosporins,cephalexin,10544094510,Cephalexin
cephalosporins,cephalexin,10544094512,Cephalexin
cephalosporins,cephalexin,10544094514,Cephalexin
cephalosporins,cephalexin,10544094520,Cephalexin
cephalosporins,cephalexin,10544094521,Cephalexin
cephalosporins,cephalexin,10544094528,Cephalexin
cephalosporins,cephalexin,10544094530,Cephalexin
cephalosporins,cephalexin,10544094540,Cephalexin
cephalosporins,cephalexin,10544094560,Cephalexin
cephalosporins,cephalexin,10544094608,Cephalexin
cephalosporins,cephalexin,10544094621,Cephalexin
cephalosporins,cephalexin,10544094628,Cephalexin
cephalosporins,cephalexin,10544094630,Cephalexin
cephalosporins,cephalexin,10544094640,Cephalexin
cephalosporins,cephalexin,10631057301,Cephalexin
cephalosporins,cephalexin,10631057340,Cephalexin
cephalosporins,cephalexin,10631057401,Cephalexin
cephalosporins,cephalexin,10631057440,Cephalexin
cephalosporins,cephalexin,11042011098,Cephalexin
cephalosporins,cephalexin,11042011099,Cephalexin
cephalosporins,cephalexin,11042011198,Cephalexin
cephalosporins,cephalexin,11042011199,Cephalexin
cephalosporins,cephalexin,11042011296,Cephalexin
cephalosporins,cephalexin,11042011297,Cephalexin
cephalosporins,cephalexin,11042011396,Cephalexin
cephalosporins,cephalexin,11042011397,Cephalexin
cephalosporins,cephalexin,11042011540,Cephalexin
cephalosporins,cephalexin,11584103405,Cephalexin
cephalosporins,cephalexin,11584103501,Cephalexin
cephalosporins,cephalexin,11584103602,Cephalexin
cephalosporins,cephalexin,11845015701,Cephalexin
cephalosporins,cephalexin,11845015703,Cephalexin
cephalosporins,cephalexin,11845015801,Cephalexin
cephalosporins,cephalexin,11845015803,Cephalexin
cephalosporins,cephalexin,12280008710,Cephalexin
cephalosporins,cephalexin,12280008720,Cephalexin
cephalosporins,cephalexin,12280009010,Cephalexin
cephalosporins,cephalexin,12280009020,Cephalexin
cephalosporins,cephalexin,12634043371,Cephalexin
cephalosporins,cephalexin,12634043440,Cephalexin
cephalosporins,cephalexin,12634043471,Cephalexin
cephalosporins,cephalexin,12634043480,Cephalexin
cephalosporins,cephalexin,16590004932,Cephalexin
cephalosporins,cephalexin,16590004936,Cephalexin
cephalosporins,cephalexin,16590005020,Cephalexin
cephalosporins,cephalexin,16590005021,Cephalexin
cephalosporins,cephalexin,16590005028,Cephalexin
cephalosporins,cephalexin,16590005030,Cephalexin
cephalosporins,cephalexin,16590005040,Cephalexin
cephalosporins,cephalexin,16590005056,Cephalexin
cephalosporins,cephalexin,16590005060,Cephalexin
cephalosporins,cephalexin,16590005090,Cephalexin
cephalosporins,cephalexin,16590005104,Cephalexin
cephalosporins,cephalexin,16590005106,Cephalexin
cephalosporins,cephalexin,16590005108,Cephalexin
cephalosporins,cephalexin,16590005110,Cephalexin
cephalosporins,cephalexin,16590005112,Cephalexin
cephalosporins,cephalexin,16590005114,Cephalexin
cephalosporins,cephalexin,16590005115,Cephalexin
cephalosporins,cephalexin,16590005116,Cephalexin
cephalosporins,cephalexin,16590005120,Cephalexin
cephalosporins,cephalexin,16590005121,Cephalexin
cephalosporins,cephalexin,16590005128,Cephalexin
cephalosporins,cephalexin,16590005130,Cephalexin
cephalosporins,cephalexin,16590005140,Cephalexin
cephalosporins,cephalexin,16590005156,Cephalexin
cephalosporins,cephalexin,16590005160,Cephalexin
cephalosporins,cephalexin,16590005172,Cephalexin
cephalosporins,cephalexin,16590046632,Cephalexin
cephalosporins,cephalexin,16590055330,Cephalexin
cephalosporins,cephalexin,16590055360,Cephalexin
cephalosporins,cephalexin,16590055390,Cephalexin
cephalosporins,cephalexin,16714064102,Cephalexin
cephalosporins,cephalexin,16714064103,Cephalexin
cephalosporins,cephalexin,16714064202,Cephalexin
cephalosporins,cephalexin,16714064203,Cephalexin
cephalosporins,cephalexin,17236058601,Cephalexin
cephalosporins,cephalexin,17236058605,Cephalexin
cephalosporins,cephalexin,17236058699,Cephalexin
cephalosporins,cephalexin,17236058701,Cephalexin
cephalosporins,cephalexin,17236058705,Cephalexin
cephalosporins,cephalexin,17236058799,Cephalexin
cephalosporins,cephalexin,17236089201,Cephalexin
cephalosporins,cephalexin,17236089301,Cephalexin
cephalosporins,cephalexin,17236098002,Cephalexin
cephalosporins,cephalexin,17236098101,Cephalexin
cephalosporins,cephalexin,17236098102,Cephalexin
cephalosporins,cephalexin,18837019514,Cephalexin
cephalosporins,cephalexin,18837019520,Cephalexin
cephalosporins,cephalexin,18837019528,Cephalexin
cephalosporins,cephalexin,18837019530,Cephalexin
cephalosporins,cephalexin,18837019540,Cephalexin
cephalosporins,cephalexin,21695031620,Cephalexin
cephalosporins,cephalexin,21695031628,Cephalexin
cephalosporins,cephalexin,21695031630,Cephalexin
cephalosporins,cephalexin,21695031640,Cephalexin
cephalosporins,cephalexin,21695031706,Cephalexin
cephalosporins,cephalexin,21695031708,Cephalexin
cephalosporins,cephalexin,21695031710,Cephalexin
cephalosporins,cephalexin,21695031712,Cephalexin
cephalosporins,cephalexin,21695031714,Cephalexin
cephalosporins,cephalexin,21695031720,Cephalexin
cephalosporins,cephalexin,21695031721,Cephalexin
cephalosporins,cephalexin,21695031728,Cephalexin
cephalosporins,cephalexin,21695031730,Cephalexin
cephalosporins,cephalexin,21695031740,Cephalexin
cephalosporins,cephalexin,21695031760,Cephalexin
cephalosporins,cephalexin,21695055100,Cephalexin
cephalosporins,cephalexin,21695055120,Cephalexin
cephalosporins,cephalexin,21695078900,Cephalexin
cephalosporins,cephalexin,21695078910,Cephalexin
cephalosporins,cephalexin,21695078920,Cephalexin
cephalosporins,cephalexin,23490028304,Cephalexin
cephalosporins,cephalexin,23490028504,Cephalexin
cephalosporins,cephalexin,23490524600,Cephalexin Hydrochloride
cephalosporins,cephalexin,23490524801,Cephalexin
cephalosporins,cephalexin,23490524802,Cephalexin
cephalosporins,cephalexin,23490524803,Cephalexin
cephalosporins,cephalexin,23490524804,Cephalexin
cephalosporins,cephalexin,23490524805,Cephalexin
cephalosporins,cephalexin,23490524806,Cephalexin
cephalosporins,cephalexin,23490524807,Cephalexin
cephalosporins,cephalexin,23490524808,Cephalexin
cephalosporins,cephalexin,23490524901,Cephalexin
cephalosporins,cephalexin,23490524902,Cephalexin
cephalosporins,cephalexin,23490525001,Cephalexin
cephalosporins,cephalexin,23490525002,Cephalexin
cephalosporins,cephalexin,23490525100,Cephalexin
cephalosporins,cephalexin,23490525101,Cephalexin
cephalosporins,cephalexin,23490525102,Cephalexin
cephalosporins,cephalexin,23490525103,Cephalexin
cephalosporins,cephalexin,23490525104,Cephalexin
cephalosporins,cephalexin,23490525105,Cephalexin
cephalosporins,cephalexin,23490525106,Cephalexin
cephalosporins,cephalexin,23490525107,Cephalexin
cephalosporins,cephalexin,23490525108,Cephalexin
cephalosporins,cephalexin,23490525109,Cephalexin
cephalosporins,cephalexin,23490784301,Cephalexin
cephalosporins,cephalexin,23490784302,Cephalexin
cephalosporins,cephalexin,23490784307,Cephalexin
cephalosporins,cephalexin,33261002007,Cephalexin
cephalosporins,cephalexin,33261002008,Cephalexin
cephalosporins,cephalexin,33261002010,Cephalexin
cephalosporins,cephalexin,33261002014,Cephalexin
cephalosporins,cephalexin,33261002020,Cephalexin
cephalosporins,cephalexin,33261002021,Cephalexin
cephalosporins,cephalexin,33261002028,Cephalexin
cephalosporins,cephalexin,33261002030,Cephalexin
cephalosporins,cephalexin,33261002040,Cephalexin
cephalosporins,cephalexin,33261002042,Cephalexin
cephalosporins,cephalexin,33261002048,Cephalexin
cephalosporins,cephalexin,33261002060,Cephalexin
cephalosporins,cephalexin,33261014907,Cephalexin
cephalosporins,cephalexin,33261014914,Cephalexin
cephalosporins,cephalexin,33261014920,Cephalexin
cephalosporins,cephalexin,33261014921,Cephalexin
cephalosporins,cephalexin,33261014928,Cephalexin
cephalosporins,cephalexin,33261014930,Cephalexin
cephalosporins,cephalexin,33261014940,Cephalexin
cephalosporins,cephalexin,33261014960,Cephalexin
cephalosporins,cephalexin,33261048501,Cephalexin
cephalosporins,cephalexin,33261048901,Cephalexin
cephalosporins,cephalexin,33261074401,Cephalexin
cephalosporins,cephalexin,33358007115,Cephalexin
cephalosporins,cephalexin,33358007120,Cephalexin
cephalosporins,cephalexin,33358007128,Cephalexin
cephalosporins,cephalexin,33358007140,Cephalexin
cephalosporins,cephalexin,33358007160,Cephalexin
